id,nume,lat,lng
158,Gaiseanca,44.4563858,25.5894415
159,Priboiu,44.4475725,25.5877597
160,Sfantu Gheorghe (Crevedia Mare),44.4351294,25.5961161
161,Daia,43.9872235,25.9918134
162,Plopsoru,44.012977,25.9861477
163,Floresti-Stoenesti,44.516667,25.7
164,Floresti,44.5104178,25.6974445
165,Palanca,44.4743213,25.7246938
166,Stoenesti (Floresti-Stoenesti),44.4883705,25.7072261
167,Fratesti,43.9908411,25.9318833
168,Cetatea,43.9486148,25.9503313
169,Remus,43.9478662,25.9784171
170,Gaiseni,44.5132726,25.6343203
171,Carpenisu,44.5351937,25.6301824
172,Cascioarele (Gaiseni),44.4996271,25.6347739
173,Podu Popa Nae,44.5189985,25.607871
174,Gaujani,43.7547562,25.7032726
175,Cetatuia,43.755788,25.7442348
176,Pietrisu,43.726035,25.6718139
177,Ghimpati,44.1678743,25.7650381
178,Copaciu,44.1800456,25.7652447
179,Naipu,44.1544774,25.7597973
180,Valea Plopilor,44.2410598,25.8165247
181,Gogosari,43.8680859,25.6752665
182,Draghiceanu,43.8640145,25.6770689
183,Izvoru (Gogosari),43.8885786,25.6606522
184,Ralesti,43.8551288,25.6837694
185,Gostinari,44.1866629,26.2202302
186,Mironesti,44.1716802,26.2462374
187,Gostinu,43.9965157,26.1184158
188,Gradinari,44.3973627,25.8092406
189,Tantava,44.4157679,25.8275252
190,Zorile,44.3777819,25.8038541
191,Greaca,44.1102883,26.3312122
192,Putu Greci,44.1409151,26.346006
193,Zboiu,44.1258711,26.3077938
194,Hotarele,44.1778868,26.3748815
195,Herasti,44.2163065,26.3584504
196,Isvoarele,44.150528,26.2972159
197,Milosesti,44.2110588,26.3746788
198,Teiusu,44.167017,26.2775692
199,Iepuresti,44.2542603,25.8833948
200,Banesti,44.274465,25.8885107
201,Chirculesti,44.2651142,25.9219794
202,Gorneni,44.282595,25.8625612
203,Stalpu,44.2682489,25.8534827
204,Valter Maracineanu,44.2350415,25.8666767
205,Izvoarele,43.9942886,25.7970218
206,Chiriacu,44.0500299,25.7780257
207,Dimitrie Cantemir,44.0261519,25.8163462
208,Petru Rares,44.0989346,25.7926524
209,Radu Voda,44.0052381,25.8172071
210,Valea Bujorului,44.0769981,25.8329317
211,Joita,44.4955737,25.8558454
212,Bacu,44.4782931,25.8915588
213,Cosoba,44.525405,25.8089449
214,Sabareni,44.507397,25.8731432
215,Letca Noua,44.2335644,25.7360164
